Movie_Name,Votes,Gross_collection_millions,Certification,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
Yojimbo,127151,N/A,A,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,Action,Drama,Thriller
K.G.F,92900,N/A,15,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,Action,Crime,Drama
Baahubali 2: The Conclusion,108444,20.19,15,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,Action,Drama,
The Mountain II,109404,N/A,15,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,Action,Drama,War
Sherlock Jr.,53449,0.98,U,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Action,Comedy,Romance
Rangasthalam,26439,3.51,12A,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,Action,Drama,
Uri: The Surgical Strike,68541,4.19,15,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Action,Drama,History
Vikram Vedha,48379,N/A,12A,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,Action,Crime,Drama
Paan Singh Tomar,37225,0.04,12A,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,Action,Biography,Crime
Mad Max: Fury Road,1041285,154.06,15,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,Action,Adventure,Sci-Fi
Pirates of the Caribbean: The Curse of the Black Pearl,1166471,305.41,12A,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Action,Adventure,Fantasy
Blade Runner,795837,32.87,AA,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,Action,Drama,Sci-Fi
The Terminator,894786,38.4,18,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,Action,Sci-Fi,
Le Mans '66,429889,117.62,12A,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,Action,Biography,Drama
Logan,798063,226.28,15,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Action,Drama,Sci-Fi
Warrior,485313,13.66,12A,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Action,Drama,Sport
Rush,496179,26.95,15,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Action,Biography,Drama
"Lock, Stock and Two Smoking Barrels",599556,3.9,18,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Action,Comedy,Crime
How to Train Your Dragon,770273,217.58,PG,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,Animation,Action,Adventure
The Iron Giant,213534,23.16,U,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,Animation,Action,Adventure
Neon Genesis Evangelion: The End of Evangelion,59745,N/A,15,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,Animation,Action,Drama
White Heat,34599,N/A,A,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,Action,Crime,Drama
The General,94920,1.03,U,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Action,Adventure,Comedy
The Hidden Fortress,40811,N/A,A,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,Action,Adventure,Drama
Bajrangi Bhaijaan,92985,8.18,12A,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,Action,Adventure,Comedy
A Wednesday,80606,N/A,15,Anupam Kher,Naseeruddin Shah,Veerendra Saxena,Mahesh Kanual,Action,Crime,Drama
Sholay,57467,N/A,PG,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,Action,Adventure,Comedy
Major,30877,N/A,15,Adivi Sesh,Prakash Raj,Revathi,Saiee Manjrekar,Action,Biography,Drama
Kaththi,28521,N/A,12A,Joseph Vijay,Samantha Ruth Prabhu,Neil Nitin Mukesh,Tota Roy Chowdhury,Action,Drama,
Sarfarosh,26362,N/A,18,Naseeruddin Shah,Aamir Khan,Sonali Bendre,Mukesh Rishi,Action,Crime,Drama
Hera Pheri,70038,N/A,15,Akshay Kumar,Suniel Shetty,Paresh Rawal,Tabu,Action,Comedy,Crime
Thuppakki,36122,N/A,15,Joseph Vijay,Kajal Aggarwal,Vidyut Jammwal,Sathyan,Action,Thriller,
Mission: Impossible - Dead Reckoning Part One,116355,N/A,12A,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Action,Adventure,Thriller
Guardians of the Galaxy Vol,258711,N/A,12A,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,Action,Adventure,Comedy
Dune,702333,108.33,12A,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,Action,Adventure,Drama
Blade Runner 2049,616270,92.05,15,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,Action,Drama,Mystery
Guardians of the Galaxy,1234812,333.18,12A,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,Action,Adventure,Comedy
The Revenant,837587,183.64,15,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Action,Adventure,Drama
Deadpool,1080761,363.07,15,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Action,Comedy,
Avengers Assemble,1426862,623.28,12A,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Action,Sci-Fi,
The Incredibles,772807,261.44,U,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,Animation,Action,Adventure
Casino Royale,676069,167.45,15,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Action,Adventure,Thriller
Kill Bill: Vol,780211,66.21,18,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Action,Crime,Thriller
Akira,196072,0.55,12,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,Animation,Action,Drama
The Bourne Ultimatum,647289,227.47,12A,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,Action,Mystery,Thriller
Ip Man,229696,N/A,15,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka-Tung Lam,Action,Biography,Drama
Wolfwalkers,36005,N/A,PG,Honor Kneafsey,Eva Whittaker,Sean Bean,Simon McBurney,Animation,Action,Adventure
Infernal Affairs,128379,0.17,15,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,Eric Tsang,Action,Crime,Drama
Baahubali: The Beginning,131364,6.74,15,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,Action,Drama,
Elite Squad,107397,0.01,18,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,Action,Crime,Drama
Sanjuro,39823,N/A,A,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,Action,Drama,Thriller
Haider,56358,0.9,15,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,Action,Crime,Drama
Brotherhood,40509,1.11,R,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,Action,Drama,War
Elite Squad 2: The Enemy Within,85138,0.1,18,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,Action,Crime,Drama
Karthikeya 2,63581,N/A,UA,Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy,Harsha Chemudu,Action,Adventure,Fantasy
The Breath,34564,N/A,15,Mete Horozoglu,Ilker Kizmaz,Birce Akalay,Ibrahim Akoz,Action,Drama,Thriller
Andaz Apna Apna,54418,N/A,U,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,Action,Comedy,Romance
Arjun Reddy,26498,N/A,A,Vijay Deverakonda,Shalini Pandey,Jia Sharma,Kanchana,Action,Drama,Romance
1: Nenokkadine,45998,N/A,15,Mahesh Babu,Kriti Sanon,Nassar,Pradeep Singh Rawat,Action,Thriller,
Zack Snyder's Justice League,420486,N/A,15,Henry Cavill,Ben Affleck,Gal Gadot,Amy Adams,Action,Adventure,Fantasy
Avatar,1356279,760.51,12A,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,Action,Adventure,Fantasy
Edge of Tomorrow,707817,100.21,12A,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,Action,Adventure,Sci-Fi
Iron Man,1092453,318.41,12A,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,Action,Adventure,Sci-Fi
Star Trek,612817,257.73,12A,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,Action,Adventure,Sci-Fi
Thor: Ragnarok,786233,315.06,12A,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,Action,Adventure,Comedy
The Blues Brothers,207453,57.23,AA,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,Action,Adventure,Comedy
X-Men: Days of Future Past,729761,233.92,12A,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,Action,Adventure,Sci-Fi
Children of Men,514757,35.55,15,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,Action,Drama,Sci-Fi
District 9,699482,115.65,15,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,Action,Sci-Fi,Thriller
A Fistful of Dollars,225364,14.5,X,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,Action,Drama,Western
Ghost in the Shell,150157,0.52,15,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,Animation,Action,Crime
"Crouching Tiger, Hidden Dragon",276897,128.08,12,Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang,Chang Chen,Action,Adventure,Drama
Hero,185061,53.71,12A,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Ziyi Zhang,Action,Adventure,Drama
The Raid 2,128149,2.63,18,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,Action,Crime,Thriller
The Wild Bunch,88036,12.06,18,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,Action,Adventure,Drama
The Adventures of Robin Hood,53145,3.98,U,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains,Action,Adventure,Romance
A Taxi Driver,28128,1.53,15,Song Kang-ho,Thomas Kretschmann,Hae-Jin Yoo,Ryu Jun-Yeol,Action,Drama,History
Baby,59046,N/A,15,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,Action,Crime,Thriller
Airlift,58022,N/A,12A,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,Action,Drama,History
Vishwaroopam,40642,N/A,12A,Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,Action,Thriller,
Sound of Freedom,44887,N/A,15,Jim Caviezel,Mira Sorvino,Bill Camp,Cristal Aparicio,Action,Biography,Drama
Dunkirk,700768,188.37,12A,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,Action,Drama,History
John Wick: Chapter 4,256276,N/A,15,Keanu Reeves,Laurence Fishburne,George Georgiou,Lance Reddick,Action,Crime,Thriller
The Batman,718257,369.35,15,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,Action,Crime,Drama
Everything Everywhere All at Once,469199,72.86,15,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,Action,Adventure,Comedy
Drive,674955,35.06,18,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Action,Drama,
The Gentlemen,366900,36.47,18,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,Action,Comedy,Crime
All Quiet on the Western Front,216571,N/A,15,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Action,Drama,War
Ghostbusters,429250,238.63,PG,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Action,Comedy,Fantasy
RRR,154535,14.5,15,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,Action,Drama,
Hot Fuzz,521573,23.64,15,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,Action,Comedy,Mystery
Apocalypto,322269,50.87,18,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,Action,Adventure,Drama
Rogue One,663364,532.18,12A,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,Action,Adventure,Sci-Fi
Predator,438603,59.74,18,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,Action,Adventure,Horror
The Bourne Identity,562561,121.66,12A,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,Action,Mystery,Thriller
Star Wars: Episode VII - The Force Awakens,953088,936.66,12A,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,Action,Adventure,Sci-Fi
Skyfall,714380,304.36,12A,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,Action,Adventure,Thriller
Taken,618409,145.0,18,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,Action,Crime,Thriller
Captain America: Civil War,821261,408.08,12A,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Action,Sci-Fi,
The Last Samurai,456093,111.11,15,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,Action,Drama,
The Fugitive,307417,183.88,12,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Action,Crime,Drama
Captain Phillips,478205,107.1,12A,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,Action,Biography,Crime
Captain America: The Winter Soldier,874882,259.77,12A,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Action,Adventure,Sci-Fi
Thirteen Lives,62597,N/A,12A,Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman,Action,Adventure,Biography
The Fighter,379750,93.62,15,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,Action,Biography,Drama
Serenity,301453,25.51,15,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,Action,Adventure,Sci-Fi
Big Hero 6,482458,222.53,PG,Ryan Potter,Scott Adsit,Jamie Chung,T.J. Miller,Animation,Action,Adventure
I Saw the Devil,139004,0.13,18,Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,Ho-jin Chun,Action,Crime,Thriller
Jujutsu Kaisen 0: The Movie,26448,34.54,15,Chinatsu Akasaki,Aya Endô,Kana Hanazawa,Show Hayami,Animation,Action,Fantasy
How to Train Your Dragon 2,351315,177.0,PG,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,Animation,Action,Adventure
Letters from Iwo Jima,167112,13.76,15,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Action,Adventure,Drama
Batman: Mask of the Phantasm,54235,5.62,PG,Kevin Conroy,Dana Delany,Hart Bochner,Stacy Keach,Animation,Action,Adventure
The Chaser,69853,N/A,18,Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Yoo-jung Kim,Action,Crime,Drama
"Aguirre, the Wrath of God",59676,N/A,A,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,Action,Adventure,Biography
Ninja Scroll,39233,N/A,18,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,Animation,Action,Adventure
Cowboy Bebop: The Movie,51091,1.0,12A,Beau Billingslea,Melissa Fahn,Nicholas Guest,Kôichi Yamadera,Animation,Action,Crime
The Killer,49858,N/A,18,Chow Yun-Fat,Danny Lee,Sally Yeh,Kong Chu,Action,Crime,Drama
Knockin' on Heaven's Door,32422,0.0,N/A,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,Action,Crime,Comedy
Minnal Murali,31462,N/A,12,Tovino Thomas,Guru Somasundaram,Aju Varghese,Baiju,Action,Comedy,Drama
Mission: Impossible - Fallout,359824,220.16,12A,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Action,Adventure,Thriller
Sicario,451165,46.89,15,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,Action,Crime,Drama
Man on Fire,375308,77.91,18,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,Action,Crime,Drama
Kingsman: The Secret Service,693382,128.26,15,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,Action,Adventure,Comedy
Black Hawk Down,410998,108.64,15,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,Action,Drama,History
The Count of Monte Cristo,144151,54.23,UA,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,Action,Adventure,Drama
Star Trek Into Darkness,491366,228.78,12A,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,Action,Adventure,Sci-Fi
3:10 to Yuma,323137,53.61,15,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,Action,Crime,Drama
Training Day,454250,76.63,18,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Action,Crime,Drama
The Last of the Mohicans,179431,75.51,15,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,Action,Adventure,Drama
The Lego Movie,375167,257.76,U,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Animation,Action,Adventure
The Boondock Saints,244739,0.03,18,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,Action,Thriller,
X-Men: First Class,709126,146.41,12A,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Action,Sci-Fi,
First Blood,264939,47.21,15,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,Action,Adventure,Thriller
The Bourne Supremacy,476443,176.24,12A,Matt Damon,Franka Potente,Joan Allen,Brian Cox,Action,Mystery,Thriller
Dirty Harry,163335,35.9,X,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,Action,Crime,Thriller
The Magnificent Seven,99187,4.91,U,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,Action,Adventure,Drama
The French Connection,129095,15.63,X,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action,Crime,Drama
Goldfinger,197026,51.08,PG,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,Action,Adventure,Thriller
Kung Fu Hustle,145946,17.11,15,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,Action,Comedy,Fantasy
Star Trek II: The Wrath of Khan,126249,78.91,12A,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Action,Adventure,Sci-Fi
Bonnie and Clyde,117335,N/A,X,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman,Action,Biography,Crime
Run Lola Run,203221,7.27,15,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,Action,Crime,Thriller
The Longest Day,57826,39.1,A,John Wayne,Robert Ryan,Richard Burton,Henry Fonda,Action,Drama,History
The Dirty Dozen,76715,45.3,X,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,Action,Adventure,War
Badlands,75999,N/A,X,Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri,Action,Crime,Drama
Kubo and the Two Strings,134944,48.02,PG,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,Animation,Action,Adventure
The Man from Nowhere,72526,0.01,18,Won Bin,Kim Sae-ron,Kim Tae-hoon,Kim Hee-won,Action,Crime,Drama
Dragon Ball Super: Broly,29943,30.71,PG,Masako Nozawa,Aya Hisakawa,Ryô Horikawa,Toshio Furukawa,Animation,Action,Adventure
Hard Boiled,52522,N/A,18,Chow Yun-Fat,Tony Leung Chiu-wai,Teresa Mo,Philip Chan,Action,Crime,Thriller
Scarface,29304,N/A,A,Paul Muni,Ann Dvorak,Karen Morley,Osgood Perkins,Action,Crime,Drama
Key Largo,42852,N/A,PG,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore,Action,Crime,Drama
Joint Security Area,32629,N/A,15,Lee Yeong-ae,Lee Byung-hun,Song Kang-ho,Kim Tae-woo,Action,Drama,Thriller
Udta Punjab,31581,N/A,15,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,Action,Crime,Drama
Raazi,32649,N/A,12A,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,Action,Drama,Thriller
Eega,26157,N/A,12A,Sudeep,Nani,Samantha Ruth Prabhu,Hamsa Nandini,Action,Comedy,Drama
Avatar: The Way of Water,444430,659.68,12A,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Action,Adventure,Fantasy
Watchmen,567044,107.51,18,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,Action,Drama,Mystery
Guardians of the Galaxy: Vol,728489,389.81,12A,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Action,Adventure,Comedy
300,842668,210.61,15,Gerard Butler,Lena Headey,David Wenham,Dominic West,Action,Drama,
Deadpool 2,614066,324.59,15,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,Action,Adventure,Comedy
Baby Driver,576558,107.83,15,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,Action,Crime,Drama
RoboCop,270304,53.42,18,Peter Weller,Nancy Allen,Dan O'Herlihy,Ronny Cox,Action,Crime,Sci-Fi
